country,year,iso_code,population,electricity_generation,electricity_demand,solar_electricity,wind_electricity,hydro_electricity,fossil_electricity,solar_share_elec,wind_share_elec,hydro_share_elec,fossil_share_elec,renewables_share_elec,carbon_intensity_elec
Germany,2016,DEU,82760102.0,641.52001953125,591.0,37.560001373291016,79.91999816894531,20.549999237060547,367.760009765625,5.854844570159912,12.457911491394045,3.20332932472229,57.32635116577149,29.481544494628903,498.2999877929688
Germany,2017,DEU,83104010.0,644.4600219726562,592.0,38.7599983215332,105.69000244140624,20.149999618530277,352.4599914550781,6.014337062835693,16.399776458740234,3.126648426055908,54.69074630737305,33.46677780151367,469.7099914550781
Germany,2018,DEU,83368507.0,632.280029296875,583.5399780273438,44.31999969482422,109.9499969482422,17.690000534057617,333.3500061035156,7.009552478790283,17.389446258544922,2.7978110313415527,52.72189331054688,35.25811004638672,454.5499877929688
Germany,2019,DEU,83559184.0,600.0900268554688,567.4199829101562,45.220001220703125,125.88999938964844,19.729999542236328,283.8500061035156,7.535536289215088,20.978519439697266,3.287839889526367,47.30123519897461,40.18896865844727,392.510009765625
Germany,2020,DEU,83628711.0,566.75,547.719970703125,49.5,132.11000061035156,18.71999931335449,250.8800048828125,8.734009742736816,23.310102462768555,3.3030436038970947,44.26643371582031,44.37406539916992,355.6099853515625
Germany,2021,DEU,83697080.0,578.8300170898438,560.25,49.34000015258789,114.16000366210938,19.65999984741211,277.20001220703125,8.524091720581055,19.722543716430664,3.3965065479278564,47.88970947265625,40.16723251342773,394.6400146484375
Germany,2022,DEU,84086227.0,566.8800048828125,539.6199951171875,60.29999923706055,124.80999755859376,17.6200008392334,280.6300048828125,10.637171745300291,22.017004013061523,3.1082417964935303,49.504302978515625,44.372703552246094,419.739990234375
Germany,2023,DEU,84548233.0,506.7200012207031,515.9400024414062,63.869998931884766,140.5399932861328,21.239999771118164,222.3999938964844,12.604594230651855,27.73523712158203,4.19166374206543,43.890113830566406,54.685035705566406,362.9200134277344
Germany,2024,DEU,84552234.0,495.989990234375,522.260009765625,74.12999725341797,141.60000610351562,23.82999992370605,205.1300048828125,14.945865631103516,28.54896354675293,4.804532527923584,41.357688903808594,58.642311096191406,336.3800048828125
India,2010,IND,1243481565.0,936.3900146484376,941.9400024414062,0.1099999994039535,19.459999084472656,108.73999786376952,771.780029296875,0.0117472419515252,2.0781939029693604,11.612682342529297,82.42079162597656,15.114428520202637,739.4299926757812
India,2011,IND,1261224956.0,1032.3199462890625,1037.43994140625,0.8299999833106995,23.950000762939453,131.6999969482422,828.1599731445312,0.0804014280438423,2.3200173377990723,12.757672309875488,80.22319030761719,16.655689239501953,722.1099853515625
India,2012,IND,1278674501.0,1088.4200439453125,1093.06005859375,2.0999999046325684,27.43000030517578,115.77999877929688,893.4500122070312,0.192940205335617,2.5201668739318848,10.637436866760254,82.08687591552734,14.868340492248535,742.8599853515625
India,2013,IND,1295829507.0,1141.22998046875,1145.1800537109375,3.430000066757202,30.01000022888184,131.97999572753906,924.9299926757812,0.3005529344081878,2.6296188831329346,11.564715385437012,81.04676818847656,16.034454345703125,738.989990234375
India,2014,IND,1312277184.0,1258.6800537109375,1259.25,4.909999847412109,33.45000076293945,139.0,1025.489990234375,0.3900911808013916,2.657546043395996,11.043314933776855,81.47344207763672,15.770488739013672,743.219970703125
